tweet_raw_id,tweet_created_at,tweet_retweeted_status_id,tweet_quoted_status_id,tweet_in_reply_to_status_id,user_raw_id,article_id,site_id,site_label
732086742744883202,2016-05-16 05:54:15,719845999066419201,719843983560679425,,715467914313404416,349191,56,0
732086881530216449,2016-05-16 05:54:48,731210670759247872,,,2696919212,349193,43,0
732086934239989760,2016-05-16 05:55:01,,,,703862791040475136,349187,4,1
732086952787218432,2016-05-16 05:55:05,,,,69032114,349189,41,0
732086952997060609,2016-05-16 05:55:05,731943742349795328,,,19788053,349197,56,0
732086971921616896,2016-05-16 05:55:10,,732032947348443136,,3384083674,349192,3,1
732087032336392192,2016-05-16 05:55:24,,,,703862791040475136,137596,11,0
732087986876125186,2016-05-16 05:59:12,724971609459556353,,,58684386,16675,60,0
732087988344119297,2016-05-16 05:59:12,,,,14315620,38763,1,1
732087999412850688,2016-05-16 05:59:15,732073333945171968,,,2893898514,349198,41,0
732089125604491264,2016-05-16 06:03:43,732065030984896512,732043470060183552,,378429182,46363,1,1
732089256189923328,2016-05-16 06:04:14,,,,713884220905533440,349205,14,0
732089265102946304,2016-05-16 06:04:17,,732088488154300420,,351889336,349207,41,0
732089269922234368,2016-05-16 06:04:18,,,,1387170774,349209,58,0
732089692020211712,2016-05-16 06:05:58,,,,16580593,349217,73,0
732089723691270144,2016-05-16 06:06:06,731899624567365632,,,483570024,349211,41,0
732089793803259904,2016-05-16 06:06:23,,,,4335525913,349214,56,0
732089921654161408,2016-05-16 06:06:53,,,,23498412,1170317,56,0
732089936766074880,2016-05-16 06:06:57,,,,1141327123,349220,56,0
732090044362563584,2016-05-16 06:07:22,732088488154300420,,,30693810,349207,41,0
732090209588764672,2016-05-16 06:08:02,732080865287753729,,,30693810,349216,41,0
732090273564491776,2016-05-16 06:08:17,732073333945171968,,,30693810,349198,41,0
732090307886505984,2016-05-16 06:08:25,732089793803259904,,,746747336,349214,56,0
732090317399154688,2016-05-16 06:08:27,732088422681038848,,,42961642,349197,56,0
732090322730127360,2016-05-16 06:08:29,728960607567814656,,,521996289,48755,2,1
732090340325380096,2016-05-16 06:08:33,732088488154300420,,,2480765648,349207,41,0
732090442053902336,2016-05-16 06:08:57,732058212774625280,,,30693810,349219,41,0
732090503420841984,2016-05-16 06:09:12,732050663195181056,,,30693810,349218,41,0
732090517706670080,2016-05-16 06:09:15,732088488154300420,,,2326604153,349207,41,0
732090650414354432,2016-05-16 06:09:47,,,732088297715982337,718940929583763456,349221,3,1
732091115185147904,2016-05-16 06:11:38,732035705434738689,,,30693810,349224,41,0
732091158067732480,2016-05-16 06:11:48,732043238899625985,,,30693810,349226,41,0
732091256323477504,2016-05-16 06:12:11,,,,4627705759,349229,41,0
732091287235518464,2016-05-16 06:12:19,732050687639478272,,,999453985,349225,3,1
732091368042954754,2016-05-16 06:12:38,732050663195181056,,,30693810,349218,41,0
732091368277839872,2016-05-16 06:12:38,731005334760751105,,,3067985879,1170318,56,0
732091522930221056,2016-05-16 06:13:15,732081953701167104,,,294918280,144771,3,1
732091602772992000,2016-05-16 06:13:34,729807358340239360,,,2268344145,39600,56,0
732091652362391552,2016-05-16 06:13:46,732025257549127680,,,567626521,349197,56,0
732091791411806208,2016-05-16 06:14:19,,,,18111522,349227,67,0
732091897947115520,2016-05-16 06:14:44,731753427072483332,,,1556984641,349231,60,0
732091965248954368,2016-05-16 06:15:00,729562583452164096,,,1075681177,1170319,56,0
732091974543540228,2016-05-16 06:15:02,731644855416279041,,,1556984641,29044,60,0
732092062179303424,2016-05-16 06:15:23,732005425722347520,,,21468093,349233,41,0
732092090969149440,2016-05-16 06:15:30,729807358340239360,,,569745251,39600,56,0
732092146686164992,2016-05-16 06:15:44,729562583452164096,,,120818659,1170319,56,0
732092177719812097,2016-05-16 06:15:51,729807358340239360,,,94283060,39600,56,0
732092193624735746,2016-05-16 06:15:55,,,,2716292122,349235,56,0
732092300961157120,2016-05-16 06:16:20,,732081953701167104,,728420088781651969,144771,3,1
732092399623643137,2016-05-16 06:16:44,,,732091795765624833,16581485,712023,51,0
732092443756089344,2016-05-16 06:16:54,732081953701167104,,,4665743419,144771,3,1
732092479537827840,2016-05-16 06:17:03,,,,324385160,349236,41,0
732092534139166721,2016-05-16 06:17:16,,731918682146803712,,2920257085,349239,56,0
732092546315259904,2016-05-16 06:17:19,,732089454953824256,,125562424,349238,4,1
732092565068128258,2016-05-16 06:17:23,,,,713531054074830848,349240,60,0
732092765484371968,2016-05-16 06:18:11,,731879566029918210,,2920257085,1170320,56,0
732092792625717248,2016-05-16 06:18:18,732081419892056064,,,869176992,349245,56,0
732092809860124676,2016-05-16 06:18:22,,,732084266042036224,59346212,349247,4,1
732092857398362112,2016-05-16 06:18:33,,,,4400575755,349238,4,1
732092876537118720,2016-05-16 06:18:38,,,,178785772,349248,56,0
732092884002840576,2016-05-16 06:18:39,729807358340239360,,,709907306255810560,39600,56,0
732092891095547904,2016-05-16 06:18:41,,,,4627478657,349246,2,1
732092892701962240,2016-05-16 06:18:41,,,,2321259026,349251,73,0
732093013833310208,2016-05-16 06:19:10,732035705434738689,,,2893898514,349224,41,0
732093044732743680,2016-05-16 06:19:18,729807358340239360,,,63383902,39600,56,0
732093048000237570,2016-05-16 06:19:18,732079407452540928,,,3415287255,349261,58,0
732093109778059264,2016-05-16 06:19:33,732043238899625985,,,2893898514,349226,41,0
732093182247198720,2016-05-16 06:19:50,,,,3975454999,2109363,56,0
732093229110267904,2016-05-16 06:20:02,729562583452164096,,,723251650174017536,1170319,56,0
732093241932161024,2016-05-16 06:20:05,732058212774625280,,,2893898514,349219,41,0
732093293157191680,2016-05-16 06:20:17,729807358340239360,,,3309829364,39600,56,0
732093308634320896,2016-05-16 06:20:21,,,,111597476,349255,72,0
732093422052474880,2016-05-16 06:20:48,732050687639478272,,,125304429,349225,3,1
732093622137569280,2016-05-16 06:21:35,729807358340239360,,,3006008988,39600,56,0
732093709848854528,2016-05-16 06:21:56,729807358340239360,,,41165751,39600,56,0
732093801221652480,2016-05-16 06:22:18,,732035725504319489,,3288348368,349254,39,0
732093829734490112,2016-05-16 06:22:25,732001405423116289,731999259239677953,,49449357,1170321,51,0
732093879894167553,2016-05-16 06:22:37,731895442687021056,,,2893898514,349260,56,0
732093907224301568,2016-05-16 06:22:43,731918682146803712,,,2893898514,349239,56,0
732093991525572609,2016-05-16 06:23:03,731943742349795328,,,2893898514,349197,56,0
732094024601853952,2016-05-16 06:23:11,,731943742349795328,,713898991,349197,56,0
732094059502829568,2016-05-16 06:23:20,,,,16547489,349262,54,0
732094134735998977,2016-05-16 06:23:38,729807358340239360,,,550487203,39600,56,0
732094135704911872,2016-05-16 06:23:38,,,,2922556139,349197,56,0
732094276130250752,2016-05-16 06:24:11,732001405423116289,731999259239677953,,4610291129,1170321,51,0
732094288629108737,2016-05-16 06:24:14,731892640422211585,,,3003935714,349263,40,0
732094302353014784,2016-05-16 06:24:17,,,,293542583,1170323,51,0
732094561812516864,2016-05-16 06:25:19,,,,618536860,349265,4,1
732094623166799872,2016-05-16 06:25:34,718228554404769793,,,106170637,349271,56,0
732094870878228480,2016-05-16 06:26:33,730275288811081729,,,2813574072,349268,60,0
732094899953098752,2016-05-16 06:26:40,,,,538695567,349267,41,0
732094914691993600,2016-05-16 06:26:43,,,,344626195,349270,66,0
732094933868273664,2016-05-16 06:26:48,731943742349795328,,,40591273,349197,56,0
732095077187780608,2016-05-16 06:27:22,732077421625675776,,,4659874881,1170322,51,0
732095080572555264,2016-05-16 06:27:23,732088422681038848,,,3225075195,349197,56,0
732095196050165760,2016-05-16 06:27:51,729562583452164096,,,66132112,1170319,56,0
732095207395627008,2016-05-16 06:27:53,,,732094259545788416,31895836,72093,43,0
732095307308138496,2016-05-16 06:28:17,732088488154300420,,,2893898514,349207,41,0
732095413423996928,2016-05-16 06:28:42,729807358340239360,,,3352899432,39600,56,0
732095443832725504,2016-05-16 06:28:50,732046490210816000,,,2651777845,87615,2,1
732095891587366913,2016-05-16 06:30:36,729807358340239360,,,3353307131,39600,56,0
732095959237316608,2016-05-16 06:30:53,732055991206842368,,,17861740,8431,68,0
732095960109731840,2016-05-16 06:30:53,,,,73572581,349269,41,0
732096075050450944,2016-05-16 06:31:20,732093801221652480,732035725504319489,,16936686,349254,39,0
732096079777271808,2016-05-16 06:31:21,732093801221652480,732035725504319489,,732095849594032129,349254,39,0
732096180167966720,2016-05-16 06:31:45,,,,50836292,349274,56,0
732096263429087235,2016-05-16 06:32:05,729807358340239360,,,3272248910,39600,56,0
732096359365378048,2016-05-16 06:32:28,731918682146803712,,,4238209872,349239,56,0
732096366130794497,2016-05-16 06:32:30,,,,128745394,90941,4,1
732096444732051457,2016-05-16 06:32:48,731879566029918210,,,4238209872,1170320,56,0
732096662609354752,2016-05-16 06:33:40,732081953701167104,,,358410527,144771,3,1
732096678698749952,2016-05-16 06:33:44,719845999066419201,719843983560679425,,709331440962502657,349191,56,0
732096777281626112,2016-05-16 06:34:08,,732046490210816000,,22805192,87615,2,1
732096797322182656,2016-05-16 06:34:12,729562583452164096,,,182366037,1170319,56,0
