,lower_day,user_id,user_raw_id,n_origin,n_retweet,n_reply,n_total
111,2016-08-01,107952,703983715,85,2,152,246
112,2016-08-01,2709,414003816,3,38,4,232
113,2016-08-01,22998,153177381,0,204,0,204
114,2016-08-01,26076,2780068146,198,0,0,198
115,2016-08-01,51653,14908579,0,177,0,177
116,2016-08-01,7653,767036004,1,53,116,170
117,2016-08-01,244310,1155270618,0,168,0,168
118,2016-08-01,63881,727558548540956672,2,151,0,162
119,2016-08-01,451260,538334228,23,105,16,155
120,2016-08-01,473881,756257270187581442,2,48,0,146
121,2016-08-01,510831,1620010466,1,144,0,145
122,2016-08-01,232632,51728851,48,28,42,143
123,2016-08-01,76929,4514651121,1,138,0,139
124,2016-08-01,391626,4201205487,0,135,0,137
125,2016-08-01,6777,22707692,109,22,4,136
126,2016-08-01,6950,2734299494,133,0,0,133
127,2016-08-01,24110,430459707,129,1,0,130
128,2016-08-01,97577,3011582208,0,129,0,129
129,2016-08-01,11490,3299924978,2,18,102,124
130,2016-08-01,9821,2247799814,0,122,0,122
131,2016-08-01,22665,1941136946,4,10,101,122
132,2016-08-01,393691,736620920064737282,0,121,0,121
133,2016-08-01,520586,758576418989105152,0,0,120,120
134,2016-08-01,461186,164757870,5,112,1,118
135,2016-08-01,128198,14421907,110,0,6,116
136,2016-08-01,68209,239692112,52,62,0,114
137,2016-08-01,13918,243312931,32,77,3,112
138,2016-08-01,25887,22700291,0,110,0,111
139,2016-08-01,168126,3409715445,11,99,0,110
140,2016-08-01,472012,758361693877665792,0,80,0,109
141,2016-08-01,251134,740661888602640384,22,0,86,108
142,2016-08-01,431664,2812310034,0,108,0,108
143,2016-08-01,504887,3789299356,0,102,0,108
144,2016-08-01,20894,1928097176,0,104,0,104
145,2016-08-01,549159,766010106404302848,0,104,0,104
146,2016-08-01,23186,113243806,47,44,0,101
147,2016-08-01,282514,20849008,18,1,79,101
148,2016-08-01,236469,1549532077,0,1,99,100
149,2016-08-01,309934,193622584,97,2,0,99
