snopes,s_pd,s_ft,s_n,fake,f_pd,f_ft,f_n
http://www.snopes.com/humor/iftrue/tacobell.asp,2015-06-01 21:46:54,2016-08-27 12:09:59,1,http://weeklyworldnews.com/headlines/28546/taco-bell-meat/,2011-01-26 05:12:38,,0
http://www.snopes.com/medical/myths/sunscreen.asp,2014-07-09 22:58:04,2016-06-27 16:21:09,2,http://www.realfarmacy.com/scientists-blow-the-lid-on-cancer-sunscreen-myth/,2014-07-05 09:38:56,2016-05-16 20:27:47,21
http://www.snopes.com/irish-slaves-early-america/,2016-09-24 18:16:28,2016-09-24 18:21:54,131,http://www.globalresearch.ca/the-irish-slave-trade-the-forgotten-white-slaves/31076,2015-03-17 00:00:00,2016-05-16 11:05:07,466
http://www.snopes.com/politics/politicians/thirdterm.asp,2014-10-15 14:35:48,2016-06-04 16:54:01,4,http://americannews.com/breaking-congress-moves-to-appoint-obama-a-third-term-in-2016/,2014-10-10 21:37:01,2016-10-11 18:05:13,1
http://www.snopes.com/jared-fogle-released-due-to-overcrowding/,2016-05-10 22:06:20,2016-06-01 08:40:58,19,http://www.thenewsnerd.com/us/jared-fogle-released-from-prison/,2015-09-18 19:48:52,2016-05-19 19:03:27,2
http://www.snopes.com/crown-tattoos/,2015-09-08 17:40:41,,0,http://www.redflagnews.com/headlines-2015/crown-tattoos-being-forced-on-women-across-the-us-if-you-see-one-heres-the-disturbing-meaning,2015-09-07 00:00:00,,0
http://www.snopes.com/fda-classified-walnuts-drugs/,2016-03-24 23:24:24,,0,http://www.realfarmacy.com/walnuts-are-drugs-says-fda/,2013-11-16 12:27:30,2016-05-26 03:01:50,1
http://www.snopes.com/humor/iftrue/tacobell.asp,2015-06-01 21:46:54,2016-08-27 12:09:59,1,http://weeklyworldnews.com/aliens/26535/alien-spaceships-to-attack-earth-in-2013/,2013-10-29 01:10:17,,0
http://www.snopes.com/mexico-border-trump-elected/,2016-06-14 15:37:11,2016-06-14 15:42:29,49,http://www.thenewsnerd.com/us/mexico-says-they-will-close-border-if-trump-elected/,2016-06-13 03:01:55,2016-06-13 10:45:06,1945
http://www.snopes.com/california-to-jail-climate-change-skeptics/,2016-06-06 17:40:19,2016-06-06 17:43:22,44,http://www.redflagnews.com/headlines-2016/california-introduces-law-to-jail-anyone-who-questions-man-made-climate-change-first-amendment-now-dead,2016-06-04 00:00:00,2016-06-04 22:55:41,125
http://www.snopes.com/minneapolis-muslims-force-government-to-provide-halal-items-at-food-shelves/,2016-08-31 00:21:03,2016-08-31 00:25:07,31,http://myfreshnews.com/muslims-demand-welfare-food-meets-islamic-requirements-crazy,2016-08-26 12:40:10,2016-08-26 21:37:13,7
http://www.snopes.com/inboxer/hoaxes/chumlee.asp,2014-03-14 01:42:20,2016-07-29 08:15:34,2,http://chronicle.su/2013/03/20/ron-jeremy-dead-at-59/,2013-03-20 23:16:32,,0
