source,target,tweet_id,tweet_type,weight
00_jackie,Alyssa_Milano,919912044484222976,mention,1508159097
00_jackie,DWStweets,919912044484222976,mention,1508159097
00_jackie,LoriD4Christ,919912044484222976,mention,1508159097
Christy45325497,2ZZWrQMiNwiagZW,919988679896129536,retweet,1508177368
Christy45325497,zarukakuhitobu,919988680734990336,retweet,1508177368
Christy45325497,buD4EC47byyP5lB,919988679896166400,retweet,1508177368
BSmithTweet,quinncy,919742858445447168,mention,1508118760
BSmithTweet,apbenven,919999619060387841,mention,1508179976
BSmithTweet,nowthisnews,921422576961949697,mention,1508519236
Christi95489576,ianaanisimova94,920043069118078976,retweet,1508190335
Christi95489576,zarukakuhitobu,920043069541617664,retweet,1508190336
Christi95489576,X7YO1KktRwPOac3,920043069113798656,retweet,1508190335
Christi95489576,buD4EC47byyP5lB,920043068681850881,retweet,1508190335
BM_Bourguignon,Alyssa_Milano,920155795211333632,mention,1508217211
BM_Bourguignon,kylegriffin1,920155795211333632,mention,1508217211
1WNupJxACXf2mPx,GriyaAmaad,919824807994314752,mention,1508138298
1WNupJxACXf2mPx,JomelIlgar,919840665013547008,mention,1508142079
1WNupJxACXf2mPx,Minina7234Elena,920202220280467456,mention,1508228280
1WNupJxACXf2mPx,DanielaAdams19,920044061473542146,mention,1508190572
1WNupJxACXf2mPx,ianaanisimova94,919853797794635776,mention,1508145210
Carrie20020,democracynow,920429131715792897,mention,1508282380
Carrie20020,MarleeMatlin,920854822949138433,mention,1508383873
Carrie20020,TaranaBurke,920429131715792897,mention,1508282380
Carrie20020,aliciagarza,920429131715792897,mention,1508282380
AngelaAngalcina,MarleeMatlin,920486923365421056,mention,1508296159
AngelaAngalcina,itsgabrielleu,919896989034270720,mention,1508155507
5YJeeCL8fw2tRCN,HungFrangky,919826278093606913,mention,1508138648
5YJeeCL8fw2tRCN,vladimi14844902,920577928441794560,mention,1508317856
5YJeeCL8fw2tRCN,oliaaleksandr11,920065771631534082,mention,1508195748
5YJeeCL8fw2tRCN,DanielaAdams19,920044061490319361,mention,1508190572
5YJeeCL8fw2tRCN,GriyaAmaad,919822949527576576,mention,1508137855
5YJeeCL8fw2tRCN,mariiagolikova1,919869356955373568,mention,1508148919
5YJeeCL8fw2tRCN,JomelIlgar,919840665823072256,mention,1508142079
5YJeeCL8fw2tRCN,dimakuznetsov62,920430187409485824,mention,1508282632
5YJeeCL8fw2tRCN,zarukakuhitobu,919780423873585152,mention,1508127716
5YJeeCL8fw2tRCN,slavasannikov23,920530520227942400,mention,1508306553
5YJeeCL8fw2tRCN,anastas81715439,920455270614077441,mention,1508288612
AndyTay60536072,Alyssa_Milano,920326835585548288,mention,1508257991
AndyTay60536072,MarleeMatlin,920728445222563840,mention,1508353742
AndyTay60536072,kylegriffin1,920326835585548288,mention,1508257991
BobFrAccounting,democracynow,920423735764705280,mention,1508281093
BobFrAccounting,TaranaBurke,920399217100718080,mention,1508275248
BobFrAccounting,womensmarch,920399217100718080,mention,1508275248
AmalPerez6,2vkHVnn16IF06TN,919964045461147648,retweet,1508171495
AmalPerez6,MaggieW94039363,919964041690468353,retweet,1508171494
AmalPerez6,2ZZWrQMiNwiagZW,919964046316789760,retweet,1508171495
AHeathensDay,Alyssa_Milano,920067883027304448,mention,1508196252
AHeathensDay,UltraViolet,921166946271399936,mention,1508458289
AHeathensDay,MarleeMatlin,920610558856056832,mention,1508325636
AHeathensDay,kylegriffin1,920067883027304448,mention,1508196252
C2GbdiDCo2DXU9K,wcI6HFykAczqC0u,919912459334545414,retweet,1508159196
C2GbdiDCo2DXU9K,X7YO1KktRwPOac3,919912459321868288,retweet,1508159196
C2GbdiDCo2DXU9K,buD4EC47byyP5lB,919912460982870016,retweet,1508159196
BOC3nOesQ01LjCZ,vladimi14844902,920179311012966400,mention,1508222818
BOC3nOesQ01LjCZ,andrea_nemtseva,920069732287557632,mention,1508196692
BOC3nOesQ01LjCZ,ianaanisimova94,919853797379362817,mention,1508145210
BOC3nOesQ01LjCZ,Minina7234Elena,920202219466690565,mention,1508228280
BOC3nOesQ01LjCZ,2ZZWrQMiNwiagZW,920067302124646400,retweet,1508196113
BOC3nOesQ01LjCZ,JovannLukasz,919780973750956033,mention,1508127847
BOC3nOesQ01LjCZ,nikitaivanov742,920562237135343616,mention,1508314115
BOC3nOesQ01LjCZ,uymOp7jz3kKgv2d,920563974386667520,retweet,1508314529
BOC3nOesQ01LjCZ,dimakuznetsov62,920430186583216134,mention,1508282631
BOC3nOesQ01LjCZ,EZK0Bbp9MEcIfOK,920524589050073088,retweet,1508305139
BOC3nOesQ01LjCZ,zarukakuhitobu,920563974831296512,retweet,1508314529
BOC3nOesQ01LjCZ,1WNupJxACXf2mPx,920071126461702144,retweet,1508197025
BOC3nOesQ01LjCZ,nastenabaturin1,920177502399746048,mention,1508222387
0618serenity,MarleeMatlin,920765469178646529,mention,1508362569
0618serenity,nowthisnews,921187717333094400,mention,1508463241
AngelaAhn6,3C0VtZexu90wpiP,920021804407771136,retweet,1508185266
AngelaAhn6,2ZZWrQMiNwiagZW,920018451074338816,retweet,1508184466
AngelaAhn6,EZK0Bbp9MEcIfOK,920018452315824129,retweet,1508184466
AngelaAhn6,zVRNbjFHBFvDryd,920018451888066561,retweet,1508184466
AngelaAhn6,hVQHLPijDiDlKN1,920021803975806976,retweet,1508185265
AngelaAhn6,4vtCoHa6OVtOWzm,920021804412006404,retweet,1508185266
AngelaAhn6,CarLGX77Qo6lBBP,920021803996553216,retweet,1508185265
BrazenLady66,Amy_Siskind,920150942405877760,mention,1508216054
BellezzaGantul2,MaggieW94039363,919816646327459841,retweet,1508136352
BellezzaGantul2,2vkHVnn16IF06TN,919816644632961024,retweet,1508136352
BellezzaGantul2,2ZZWrQMiNwiagZW,919816645492736000,retweet,1508136352
BellezzaGantul2,EZK0Bbp9MEcIfOK,919816644649775105,retweet,1508136352
BellezzaGantul2,X7YO1KktRwPOac3,919816646331691008,retweet,1508136352
0jfJC6Vud6S8cjf,3C0VtZexu90wpiP,919922266024087552,retweet,1508161534
0jfJC6Vud6S8cjf,ianaanisimova94,919922266007359493,retweet,1508161534
0jfJC6Vud6S8cjf,4vtCoHa6OVtOWzm,919922266032439297,retweet,1508161534
0jfJC6Vud6S8cjf,2ZZWrQMiNwiagZW,919922266011467776,retweet,1508161534
4vtCoHa6OVtOWzm,HungFrangky,919826278131404801,mention,1508138648
4vtCoHa6OVtOWzm,vladimi14844902,920577928441860097,mention,1508317856
4vtCoHa6OVtOWzm,SilcoxLoraine,920059501532925958,mention,1508194253
4vtCoHa6OVtOWzm,anisimov3121,920716850073391105,mention,1508350977
4vtCoHa6OVtOWzm,JovannLukasz,919780974606548997,mention,1508127847
4vtCoHa6OVtOWzm,JomelIlgar,919836699689177088,mention,1508141133
4vtCoHa6OVtOWzm,nikitaivanov742,920557214863183873,mention,1508312917
4vtCoHa6OVtOWzm,Minina7234Elena,920181828404817920,mention,1508223418
4vtCoHa6OVtOWzm,JoyeFujita,919829074893328384,mention,1508139315
4vtCoHa6OVtOWzm,mariiagolikova1,919869356955324416,mention,1508148919
AshleyH33168304,hVQHLPijDiDlKN1,919999535983841290,retweet,1508179956
AshleyH33168304,2ZZWrQMiNwiagZW,919999536017428480,retweet,1508179956
AshleyH33168304,EZK0Bbp9MEcIfOK,919999535992238081,retweet,1508179956
BoleyGo,Alyssa_Milano,920266190127357953,mention,1508243532
BoleyGo,kylegriffin1,920266190127357953,mention,1508243532
AngelaKrebs444,RVAwonk,919766948010803205,mention,1508124503
AngelaKrebs444,BetsyDeVosED,919766948010803205,mention,1508124503
BeckyKeely2,oliaaleksandr11,920036312488534016,retweet,1508188725
BeckyKeely2,zVRNbjFHBFvDryd,920036312899563520,retweet,1508188725
BeckyKeely2,wcI6HFykAczqC0u,920036311679098880,retweet,1508188724
AlexisinNH,Alyssa_Milano,919907624967077888,mention,1508158043
AlexisinNH,urasillylibby,919907624967077888,mention,1508158043
AlexisinNH,Corey_Feldman,919907624967077888,mention,1508158043
AlexisinNH,AshleyJudd,919907624967077888,mention,1508158043
AprylLMorrison,Alyssa_Milano,919777817524686848,mention,1508127095
AprylLMorrison,JamilSmith,919777817524686848,mention,1508127095
Astwisa,Alyssa_Milano,921208529855352834,mention,1508468203
Astwisa,RobinRoberts,921208529855352834,mention,1508468203
Astwisa,TaranaBurke,921208529855352834,mention,1508468203
Adriana33858955,U98kO2kO5V5WsDo,920064366950731776,retweet,1508195413
Adriana33858955,hVQHLPijDiDlKN1,920064365692424192,retweet,1508195413
Adriana33858955,zVRNbjFHBFvDryd,920070451635867649,retweet,1508196864
Adriana33858955,X7YO1KktRwPOac3,920070452466343936,retweet,1508196864
BatesWillie,Alyssa_Milano,921124413508083713,mention,1508448148
BatesWillie,UltraViolet,921123109104766977,mention,1508447837
BatesWillie,RobinRoberts,921124413508083713,mention,1508448148
BatesWillie,TaranaBurke,921124413508083713,mention,1508448148
BlackCampy_10,Alyssa_Milano,920092392027492354,mention,1508202095
BlackCampy_10,JamilSmith,919853929072033792,mention,1508145241
BlackCampy_10,kylegriffin1,920092392027492354,mention,1508202095
BurtonSharlene,Alyssa_Milano,920022270810230785,mention,1508185377
BurtonSharlene,itsgabrielleu,920659052572618752,mention,1508337197
BurtonSharlene,kylegriffin1,920022270810230785,mention,1508185377
COLBYLENZ,democracynow,920535536997097472,mention,1508307749
COLBYLENZ,TaranaBurke,920535536997097472,mention,1508307749
COLBYLENZ,aliciagarza,920535536997097472,mention,1508307749
Alyssa_Milano,GMA,920976304857665536,mention,1508412836
Alyssa_Milano,CarloOcchinegro,920036021420613632,mention,1508188655
Alyssa_Milano,0618serenity,920807545169633281,retweet,1508372601
Alyssa_Milano,Christi76489149,919988884578164738,quote,1508177417
Alyssa_Milano,AshaGomez_,920996081680478209,retweet,1508417551
Alyssa_Milano,DWStweets,919844260756762624,mention,1508142936
Alyssa_Milano,BrazenLady66,920148950937755648,retweet,1508215580
Alyssa_Milano,LoriD4Christ,919887751503384576,mention,1508153305
Alyssa_Milano,JamilSmith,919772678109704192,mention,1508125869
Alyssa_Milano,kylegriffin1,920021733855453190,mention,1508185249
Alyssa_Milano,womensmarch,919807946690883586,mention,1508134278
Alyssa_Milano,BM_Bourguignon,920404072859095040,retweet,1508276405
Alyssa_Milano,RobinRoberts,920974049945313280,mention,1508412299
Alyssa_Milano,62six_,921045587876810752,retweet,1508429355
Alyssa_Milano,BatesWillie,921123981075378176,retweet,1508448045
Alyssa_Milano,urasillylibby,919815081986273280,mention,1508135979
Alyssa_Milano,AngelaAngalcina,920998135178162176,retweet,1508418041
Alyssa_Milano,AngelaKrebs444,920046255509684224,retweet,1508191095
Alyssa_Milano,UltraViolet,921098389105856515,mention,1508441943
Alyssa_Milano,CarolioneEberle,920279973860016128,retweet,1508246818
Alyssa_Milano,AprylLMorrison,919766428764557312,mention,1508124379
Alyssa_Milano,BadW0lf2017,920138529769799681,mention,1508213095
Alyssa_Milano,TaranaBurke,921213551188029440,mention,1508469400
BetsyDeVosED,RVAwonk,919752076535660544,mention,1508120957
BetsyDeVosED,womensmarch,920066192324390912,mention,1508195848
Corey_Feldman,urasillylibby,919815081986273280,mention,1508135979
BonnieT62117102,U98kO2kO5V5WsDo,920058884559134721,retweet,1508194106
BonnieT62117102,4vtCoHa6OVtOWzm,920058885406380032,retweet,1508194106
BonnieT62117102,2ZZWrQMiNwiagZW,920056375123873792,retweet,1508193508
2ZZWrQMiNwiagZW,GriyaAmaad,919824807994298369,mention,1508138298
2ZZWrQMiNwiagZW,uymOp7jz3kKgv2d,919903331660845056,mention,1508157019
2ZZWrQMiNwiagZW,anisimov3121,920724526492737537,mention,1508352808
2ZZWrQMiNwiagZW,andrea_nemtseva,920069733961076736,mention,1508196693
2ZZWrQMiNwiagZW,JovannLukasz,919780974581506048,mention,1508127847
2ZZWrQMiNwiagZW,dimakuznetsov62,920430187426168832,mention,1508282632
2ZZWrQMiNwiagZW,SilcoxLoraine,920059501566484481,mention,1508194253
2ZZWrQMiNwiagZW,zarukakuhitobu,919780423894487040,mention,1508127716
2ZZWrQMiNwiagZW,JoyeFujita,919829074893262848,mention,1508139315
2ZZWrQMiNwiagZW,mariiagolikova1,919869356963717120,mention,1508148919
2ZZWrQMiNwiagZW,anastas81715439,920451993210097664,mention,1508287831
BadW0lf2017,Alyssa_Milano,920138253365153792,mention,1508213029
BadW0lf2017,kylegriffin1,920138253365153792,mention,1508213029
AngelTh89675903,MaggieW94039363,920034996341133313,retweet,1508188411
AngelTh89675903,oliaaleksandr11,920034996307595265,retweet,1508188411
AngelTh89675903,EZK0Bbp9MEcIfOK,920034996328558592,retweet,1508188411
AngelTh89675903,zVRNbjFHBFvDryd,920034997171556352,retweet,1508188411
AngelTh89675903,zarukakuhitobu,920034997175808000,retweet,1508188411
AngelTh89675903,wcI6HFykAczqC0u,920034997586628608,retweet,1508188411
Cotras1,Alyssa_Milano,920054124032462848,mention,1508192971
Cotras1,quinncy,920008054216814592,mention,1508181987
Cotras1,kylegriffin1,920054124032462848,mention,1508192971
Cotras1,Amy_Siskind,919751693742592000,mention,1508120866
AshleyS31187087,MaggieW94039363,920023110526668801,retweet,1508185577
AshleyS31187087,ianaanisimova94,920023110514020353,retweet,1508185577
AshleyS31187087,U98kO2kO5V5WsDo,920025367045386240,retweet,1508186115
AshleyS31187087,5YJeeCL8fw2tRCN,920023113433337856,retweet,1508185578
AshleyJudd,urasillylibby,919816918495891456,mention,1508136417
CalistusPriyan2,2vkHVnn16IF06TN,919792525694685184,retweet,1508130601
CalistusPriyan2,hVQHLPijDiDlKN1,919792525711421441,retweet,1508130601
CalistusPriyan2,EZK0Bbp9MEcIfOK,919792526969786368,retweet,1508130602
CalistusPriyan2,BOC3nOesQ01LjCZ,919792525728276481,retweet,1508130601
CalistusPriyan2,wcI6HFykAczqC0u,919792525707304968,retweet,1508130601
CynicalWord,quinncy,920047851886874629,mention,1508191476
CynicalWord,RVAwonk,919757019669659653,mention,1508122136
CynicalWord,BetsyDeVosED,919757019669659653,mention,1508122136
AdamKleytus,Alyssa_Milano,919938978207453184,mention,1508165518
AdamKleytus,urasillylibby,919938978207453184,mention,1508165518
AdamKleytus,Corey_Feldman,919938978207453184,mention,1508165518
AdamKleytus,AshleyJudd,919938978207453184,mention,1508165518
CarloOcchinegro,Alyssa_Milano,920045214898774017,mention,1508190847
CarloOcchinegro,kylegriffin1,920045214898774017,mention,1508190847
Christi76489149,apbenven,919986362945851392,mention,1508176816
Christi76489149,Amy_Siskind,919989304432185345,mention,1508177517
Asavela20,RobinRoberts,920392166060552192,mention,1508273567
Asavela20,GMA,920392166060552192,mention,1508273567
Asavela20,itsgabrielleu,920392166060552192,mention,1508273567
Amy_Siskind,BoleyGo,920128661440925696,retweet,1508210742
Amy_Siskind,Christi76489149,919992797855395842,retweet,1508178350
Amy_Siskind,BrazenLady66,920680635588517888,retweet,1508342343
Amy_Siskind,AlittleBumpNRun,919929369057026048,retweet,1508163227
Amy_Siskind,CarolioneEberle,920688385433284608,retweet,1508344191
AshaGomez_,nowthisnews,921420611070627840,mention,1508518767
AshaGomez_,womensmarch,919958187704508416,mention,1508170098
2vkHVnn16IF06TN,HungFrangky,919828639100923904,mention,1508139211
2vkHVnn16IF06TN,GriyaAmaad,919824808006864896,mention,1508138298
2vkHVnn16IF06TN,SilcoxLoraine,920061365066387458,mention,1508194698
2vkHVnn16IF06TN,anisimov3121,920716850064969728,mention,1508350977
2vkHVnn16IF06TN,andrea_nemtseva,920073534856101889,mention,1508197599
2vkHVnn16IF06TN,nikitaivanov742,920562238804713472,mention,1508314115
2vkHVnn16IF06TN,Minina7234Elena,920202220288737281,mention,1508228280
2vkHVnn16IF06TN,nastenabaturin1,920177503255367680,mention,1508222387
2vkHVnn16IF06TN,slavasannikov23,920537359858520064,mention,1508308184
62six_,womensmarch,921008999692165120,mention,1508420631
62six_,BetsyDeVosED,921008999692165120,mention,1508420631
AlittleBumpNRun,apbenven,920078845243478016,mention,1508198865
AlittleBumpNRun,TaranaBurke,920311577135501312,mention,1508254353
3C0VtZexu90wpiP,HungFrangky,919826278093606912,mention,1508138648
