,lower_day,user_id,user_raw_id,n_origin,n_retweet,n_reply,n_total
112,2016-07-01,3531,1539085914,333,2,2,341
113,2016-07-01,73946,538829415,336,0,0,336
114,2016-07-01,72787,443949584,333,0,0,333
115,2016-07-01,337,15392486,332,0,0,332
116,2016-07-01,1296,1251812930,2,329,0,331
117,2016-07-01,250,195524777,330,0,0,330
118,2016-07-01,379,3597859817,330,0,0,330
119,2016-07-01,1235,3400009402,0,329,0,329
120,2016-07-01,2461,2267702196,325,2,0,329
121,2016-07-01,75114,3400722723,45,280,3,328
122,2016-07-01,178141,159668463,0,323,0,323
123,2016-07-01,431,376337492,322,0,0,322
124,2016-07-01,6121,2807635800,322,0,0,322
125,2016-07-01,1103,363761111,273,42,0,319
126,2016-07-01,15347,12912542,249,68,0,317
127,2016-07-01,450,199768203,8,305,0,313
128,2016-07-01,2320,2377815434,267,9,35,312
129,2016-07-01,4411,1072323325,0,308,0,312
130,2016-07-01,5035,3167493495,0,312,0,312
131,2016-07-01,8026,15717071,310,1,0,311
132,2016-07-01,128954,712866409903177728,0,310,0,310
133,2016-07-01,12019,2315583427,0,287,12,299
134,2016-07-01,12931,313758408,299,0,0,299
135,2016-07-01,214,428081159,298,0,0,298
136,2016-07-01,296373,750412489116884993,281,11,0,292
137,2016-07-01,11210,2842889879,286,1,2,289
138,2016-07-01,19077,3350716047,0,289,0,289
139,2016-07-01,23337,715434592925270017,0,288,0,288
140,2016-07-01,72242,614524574,288,0,0,288
141,2016-07-01,72314,321760879,288,0,0,288
142,2016-07-01,10254,327936669,280,5,0,285
143,2016-07-01,2244,365168112,0,283,0,283
144,2016-07-01,72245,326497387,283,0,0,283
145,2016-07-01,72248,338844588,283,0,0,283
146,2016-07-01,6823,317223956,49,222,3,282
147,2016-07-01,1234,30117361,276,4,0,280
148,2016-07-01,72537,777777378,280,0,0,280
149,2016-07-01,72884,538731930,279,0,0,279
150,2016-07-01,763,76227785,278,0,0,278
151,2016-07-01,72237,511935521,277,0,0,277
152,2016-07-01,72244,518453811,277,0,0,277
153,2016-07-01,72255,511860198,277,0,0,277
154,2016-07-01,20802,853766604,7,120,5,276
155,2016-07-01,73444,395447470,275,0,0,275
156,2016-07-01,7460,4883801255,0,274,0,274
157,2016-07-01,17677,408590976,17,253,2,274
158,2016-07-01,72236,902013278,274,0,0,274
159,2016-07-01,7366,1633296644,272,0,0,272
160,2016-07-01,6197,3410475429,154,117,0,271
161,2016-07-01,14459,29547555,4,261,0,271
162,2016-07-01,5222,1451597376,0,270,0,270
163,2016-07-01,17443,185579226,220,44,0,268
164,2016-07-01,2259,1849839132,253,14,0,267
165,2016-07-01,222,14575708,265,0,0,265
166,2016-07-01,11745,631993939,265,0,0,265
167,2016-07-01,54806,733620057197162496,263,0,0,263
168,2016-07-01,7102,30903741,7,16,239,262
169,2016-07-01,272226,748098526878404609,0,261,0,261
170,2016-07-01,4023,4855587569,0,250,1,256
171,2016-07-01,7603,260920761,1,253,0,254
172,2016-07-01,72366,518575214,254,0,0,254
173,2016-07-01,390,91842993,253,0,0,253
174,2016-07-01,72908,516271821,252,0,0,252
175,2016-07-01,1600,3106534151,213,35,0,248
176,2016-07-01,5239,2417844248,141,100,0,241
177,2016-07-01,73443,518515932,240,0,0,240
178,2016-07-01,3455,1453061828,239,0,0,239
179,2016-07-01,186913,16385026,164,67,0,235
180,2016-07-01,1830,506399081,58,114,43,234
181,2016-07-01,10050,15970784,233,1,0,234
182,2016-07-01,3656,1423825207,231,1,0,232
183,2016-07-01,3826,2711204024,198,32,0,230
184,2016-07-01,19181,518347621,226,3,1,230
185,2016-07-01,3730,3328134453,193,33,1,227
186,2016-07-01,19841,2302407630,20,42,164,227
187,2016-07-01,102730,730248972128817152,118,106,0,227
188,2016-07-01,55281,21216192,185,37,1,226
