,lower_day,user_id,user_raw_id,n_origin,n_retweet,n_reply,n_total
53,2016-07-01,2929,894292836,0,93,0,97
54,2016-07-01,3169,286423987,0,84,0,97
55,2016-07-01,51660,621836837,0,55,0,97
56,2016-07-01,2939,4917092018,23,25,43,92
57,2016-07-01,32933,430359645,0,92,0,92
58,2016-07-01,32611,490071534,0,0,91,91
59,2016-07-01,39615,25655525,90,1,0,91
60,2016-07-01,334421,532876187,4,86,0,90
61,2016-07-01,2284,192343821,0,82,0,88
62,2016-07-01,35398,395552299,0,82,0,87
63,2016-07-01,3874,792038436,21,48,4,86
64,2016-07-01,21624,18346322,0,79,0,86
65,2016-07-01,173098,64781513,0,38,45,86
66,2016-07-01,14382,612057704,2,79,2,85
67,2016-07-01,21799,3010704366,0,85,0,85
68,2016-07-01,128198,14421907,81,0,4,85
69,2016-07-01,5749,1355218452,77,0,7,84
70,2016-07-01,13716,342710587,54,9,21,84
71,2016-07-01,448855,1122634170,1,83,0,84
72,2016-07-01,3451,718261518316486657,0,83,0,83
73,2016-07-01,14161,423985664,11,15,57,83
74,2016-07-01,46001,87407427,1,81,0,83
75,2016-07-01,23412,53739953,4,29,0,82
76,2016-07-01,20147,483528697,0,81,0,81
77,2016-07-01,182334,2922437656,0,78,0,81
78,2016-07-01,11635,42111364,5,52,5,80
79,2016-07-01,146560,4277241133,10,59,8,80
80,2016-07-01,3756,28674574,0,79,0,79
81,2016-07-01,20894,1928097176,0,79,0,79
82,2016-07-01,200429,40288690,34,45,0,79
83,2016-07-01,5476,165938084,3,72,2,78
84,2016-07-01,7842,131014335,0,77,0,78
85,2016-07-01,5176,718320444164730880,0,77,0,77
86,2016-07-01,9821,2247799814,1,75,0,76
87,2016-07-01,364786,3307884182,0,76,0,76
88,2016-07-01,3438,865200110,0,74,1,75
89,2016-07-01,13918,243312931,14,59,0,74
90,2016-07-01,180644,39130086,64,10,0,74
91,2016-07-01,182969,322802128,0,74,0,74
92,2016-07-01,214873,357232722,17,57,0,74
93,2016-07-01,1136,35606154,5,68,0,73
94,2016-07-01,24110,430459707,73,0,0,73
95,2016-07-01,27823,165885518,55,16,0,73
96,2016-07-01,69616,2463854064,0,73,0,73
97,2016-07-01,101926,245688940,1,63,2,73
98,2016-07-01,258742,16518781,15,1,57,73
99,2016-07-01,13126,2191568058,0,70,2,72
100,2016-07-01,155691,371864433,0,71,0,72
101,2016-07-01,178729,732215336158826497,0,71,0,72
102,2016-07-01,2093,2414913756,13,55,0,71
103,2016-07-01,4468,704060092065423361,1,52,1,71
104,2016-07-01,5030,4780848218,0,47,0,71
105,2016-07-01,169055,236903798,0,50,0,71
106,2016-07-01,201594,741886056,0,60,0,71
107,2016-07-01,225106,15088394,0,70,0,71
108,2016-07-01,363576,1161486991,0,71,0,71
109,2016-07-01,461252,758091904839847936,0,69,0,70
110,2016-07-01,32980,2818565778,13,5,51,69
111,2016-07-01,7069,255827278,0,61,0,68
112,2016-07-01,20954,39421059,0,66,0,68
113,2016-07-01,46498,426118191,4,53,0,68
114,2016-07-01,81142,22132565,2,55,0,68
115,2016-07-01,3750,514974163,0,67,0,67
116,2016-07-01,3817,30050899,3,62,1,67
117,2016-07-01,7491,47491845,0,65,1,67
118,2016-07-01,218158,22926791,3,63,0,67
119,2016-07-01,8392,20618180,0,66,0,66
120,2016-07-01,165772,738751364277391360,0,45,21,66
121,2016-07-01,303397,705135878071431168,0,0,0,66
122,2016-07-01,31543,73972116,0,65,0,65
123,2016-07-01,130042,705444664506257409,63,2,0,65
124,2016-07-01,5863,217836474,0,64,0,64
125,2016-07-01,9226,277154056,0,64,0,64
126,2016-07-01,14565,4862979013,36,17,11,64
127,2016-07-01,20173,195030017,1,62,1,64
128,2016-07-01,211229,1173016188,14,38,0,64
129,2016-07-01,35457,16713361,4,3,56,63
130,2016-07-01,61896,267221643,1,4,58,63
131,2016-07-01,36624,1928290020,11,50,0,62
132,2016-07-01,22328,2421228369,0,61,0,61
133,2016-07-01,34649,20634939,32,29,0,61
134,2016-07-01,106,27494683,0,56,0,60
135,2016-07-01,3085,78815813,0,60,0,60
136,2016-07-01,14188,262349771,9,3,48,60
137,2016-07-01,16557,3293178390,1,47,0,60
138,2016-07-01,165345,2204352932,0,57,1,60
139,2016-07-01,362748,26729376,2,58,0,60
140,2016-07-01,4193,86123044,0,59,0,59
141,2016-07-01,22148,451662665,6,19,34,59
142,2016-07-01,24872,2763788200,0,59,0,59
143,2016-07-01,59747,20269192,0,57,0,59
144,2016-07-01,1066,220087241,2,56,0,58
145,2016-07-01,5306,221559802,1,57,0,58
146,2016-07-01,10507,14986009,7,24,0,58
147,2016-07-01,13326,16634486,0,46,0,58
148,2016-07-01,34765,19088288,7,48,1,58
149,2016-07-01,131366,90061805,38,0,20,58
150,2016-07-01,199088,2183169840,0,57,0,58
151,2016-07-01,263477,4817992265,28,22,7,58
152,2016-07-01,791,718343567077437440,0,57,0,57
153,2016-07-01,6338,71645414,1,52,0,57
154,2016-07-01,13970,3179207340,0,49,0,57
155,2016-07-01,271731,747834623686774784,53,4,0,57
156,2016-07-01,1298,522775464,0,52,0,56
157,2016-07-01,24487,213466282,0,56,0,56
158,2016-07-01,96942,16892534,33,12,6,56
159,2016-07-01,142360,15256049,51,5,0,56
160,2016-07-01,3275,16146535,1,53,0,55
161,2016-07-01,3417,124953604,0,55,0,55
162,2016-07-01,4628,25207598,0,55,0,55
163,2016-07-01,5368,134971995,0,55,0,55
164,2016-07-01,12371,382370203,8,47,0,55
165,2016-07-01,33125,1608321360,0,53,0,55
166,2016-07-01,77847,221260532,48,3,2,55
167,2016-07-01,178679,45145252,0,55,0,55
168,2016-07-01,256946,2858292438,0,55,0,55
169,2016-07-01,2018,3383116294,0,51,0,54
170,2016-07-01,2450,704696943771975681,0,54,0,54
171,2016-07-01,2486,160273215,47,2,4,54
172,2016-07-01,12745,112777525,0,54,0,54
173,2016-07-01,41998,1350528253,0,48,0,54
174,2016-07-01,58740,762435337,0,54,0,54
175,2016-07-01,77232,14091197,37,11,0,54
176,2016-07-01,42178,1163887880,0,51,0,53
177,2016-07-01,98719,243331278,3,49,0,53
178,2016-07-01,270405,61565052,2,51,0,53
179,2016-07-01,277253,886979228,0,53,0,53
180,2016-07-01,293876,220712406,50,2,0,53
181,2016-07-01,304823,1673562811,0,53,0,53
182,2016-07-01,5055,883421593,0,49,1,52
183,2016-07-01,51348,370222416,0,52,0,52
184,2016-07-01,69957,255665581,1,51,0,52
185,2016-07-01,96265,633365323,6,43,0,52
186,2016-07-01,344558,28383391,0,0,2,52
187,2016-07-01,5228,312248392,0,50,1,51
188,2016-07-01,7989,2906473932,11,3,8,51
189,2016-07-01,29166,484779077,0,51,0,51
190,2016-07-01,34248,28677323,0,51,0,51
191,2016-07-01,43544,389437079,0,49,2,51
192,2016-07-01,101048,725778274408882176,51,0,0,51
193,2016-07-01,361467,185440670,0,51,0,51
194,2016-07-01,448,731606542831603712,10,4,35,50
195,2016-07-01,18159,2264560325,0,50,0,50
196,2016-07-01,21908,281282774,1,49,0,50
197,2016-07-01,35073,732681446444433408,35,6,0,50
198,2016-07-01,37797,495602226,0,50,0,50
199,2016-07-01,79734,16540169,2,18,29,50
200,2016-07-01,126822,20594278,0,32,0,50
201,2016-07-01,257766,612782928,0,44,0,50
202,2016-07-01,393691,736620920064737282,0,49,1,50
203,2016-07-01,2036,360209216,1,48,0,49
204,2016-07-01,2283,2156190929,6,17,19,49
205,2016-07-01,8021,448203900,4,35,7,49
206,2016-07-01,22234,2203566064,0,4,0,49
207,2016-07-01,35643,51259550,1,47,0,49
208,2016-07-01,36239,3889673836,0,49,0,49
209,2016-07-01,36932,28654816,1,42,0,49
210,2016-07-01,139658,55364459,0,45,0,49
211,2016-07-01,255334,43805270,0,48,0,49
212,2016-07-01,1879,109854452,1,45,0,48
213,2016-07-01,4759,1549229162,1,0,47,48
214,2016-07-01,10137,570318719,1,3,44,48
215,2016-07-01,18102,81663892,0,47,0,48
216,2016-07-01,23954,128604687,5,43,0,48
217,2016-07-01,51733,76574312,0,48,0,48
218,2016-07-01,58588,1104959191,0,33,15,48
219,2016-07-01,64943,64035970,2,21,24,48
220,2016-07-01,75020,4450541,0,46,1,48
221,2016-07-01,259211,4007694499,0,0,48,48
222,2016-07-01,4526,315305555,26,21,0,47
223,2016-07-01,5322,1957948550,0,46,0,47
224,2016-07-01,35061,1723963088,2,21,10,47
225,2016-07-01,41364,305624398,25,22,0,47
226,2016-07-01,59800,17235735,0,43,0,47
227,2016-07-01,296426,745765938297864192,0,47,0,47
228,2016-07-01,390662,728969814153166848,0,44,3,47
229,2016-07-01,2459,200964745,0,46,0,46
230,2016-07-01,3311,2570615502,0,7,33,46
231,2016-07-01,4057,763300,0,46,0,46
232,2016-07-01,17853,586854588,1,35,0,46
233,2016-07-01,17904,749241462,1,30,3,46
234,2016-07-01,38235,279618508,8,38,0,46
235,2016-07-01,64881,16744260,0,45,0,46
236,2016-07-01,235908,407065731,0,46,0,46
237,2016-07-01,579,3013248165,0,45,0,45
238,2016-07-01,2844,187657428,0,45,0,45
239,2016-07-01,3694,840769975,15,0,26,45
240,2016-07-01,4658,4855874126,3,31,7,45
241,2016-07-01,5879,325164172,4,14,27,45
242,2016-07-01,7854,31403779,1,44,0,45
243,2016-07-01,13385,15182798,17,13,8,45
244,2016-07-01,14298,341678317,0,31,14,45
245,2016-07-01,16523,186045114,7,38,0,45
246,2016-07-01,18041,1531525988,0,45,0,45
247,2016-07-01,23671,424688633,0,0,45,45
248,2016-07-01,24826,1604640828,0,41,0,45
249,2016-07-01,25814,9466582,0,44,0,45
250,2016-07-01,42872,3664920377,11,26,8,45
251,2016-07-01,2120,2584806333,1,43,0,44
252,2016-07-01,5355,712047579027087362,0,44,0,44
253,2016-07-01,19837,123628682,0,41,0,44
254,2016-07-01,33057,977524813,0,44,0,44
255,2016-07-01,39019,1513958744,5,15,22,44
256,2016-07-01,53250,71569841,34,7,1,44
257,2016-07-01,54654,708645251674742789,0,0,44,44
258,2016-07-01,67812,2193089404,1,41,0,44
259,2016-07-01,138723,731256759117996032,0,43,0,44
260,2016-07-01,4367,16700340,0,43,0,43
261,2016-07-01,5069,713373797928316928,2,7,34,43
262,2016-07-01,13479,4787208975,0,43,0,43
263,2016-07-01,17240,2303825245,0,43,0,43
264,2016-07-01,22222,523871901,23,4,13,43
265,2016-07-01,35725,545474475,25,12,3,43
266,2016-07-01,38253,1040447646,0,38,0,43
267,2016-07-01,107538,2466715500,0,43,0,43
268,2016-07-01,128124,1623280920,0,43,0,43
269,2016-07-01,165792,520460203,6,12,23,43
270,2016-07-01,170511,480942036,32,11,0,43
271,2016-07-01,199237,741438298468450304,0,43,0,43
272,2016-07-01,5515,314205406,7,0,27,42
273,2016-07-01,8069,73124948,0,41,0,42
274,2016-07-01,12315,4471584995,42,0,0,42
275,2016-07-01,14397,61104689,2,27,5,42
276,2016-07-01,23127,2664278533,0,38,0,42
277,2016-07-01,23186,113243806,17,22,0,42
278,2016-07-01,24067,2197106143,2,40,0,42
279,2016-07-01,31400,46878269,1,41,0,42
280,2016-07-01,37178,183753455,0,42,0,42
281,2016-07-01,39131,34093672,9,32,0,42
282,2016-07-01,40289,17756037,1,26,0,42
283,2016-07-01,107377,32644372,6,8,21,42
284,2016-07-01,137890,583024630,4,31,0,42
285,2016-07-01,352817,936198384,0,36,3,42
286,2016-07-01,448626,32272241,0,0,42,42
287,2016-07-01,5641,1263236965,1,32,7,41
288,2016-07-01,8422,19141265,2,25,0,41
289,2016-07-01,8563,1539564943,1,40,0,41
290,2016-07-01,9653,1542198810,2,39,0,41
291,2016-07-01,13675,792119786,7,34,0,41
292,2016-07-01,19381,142113417,2,3,5,41
293,2016-07-01,19824,599592758,0,41,0,41
294,2016-07-01,33315,87869624,0,10,31,41
295,2016-07-01,34832,135541389,4,30,0,41
296,2016-07-01,48407,1046074586,1,37,0,41
297,2016-07-01,57033,18114982,0,41,0,41
298,2016-07-01,57132,294408622,1,33,4,41
299,2016-07-01,181913,1117091864,0,41,0,41
300,2016-07-01,201169,2186714486,41,0,0,41
301,2016-07-01,259121,53029808,2,1,36,41
302,2016-07-01,3227,1226641662,0,40,0,40
303,2016-07-01,3328,2946543746,0,40,0,40
304,2016-07-01,3897,2973842578,0,40,0,40
305,2016-07-01,11788,21051380,4,36,0,40
306,2016-07-01,17777,31035261,0,36,0,40
307,2016-07-01,19849,398842314,0,39,0,40
308,2016-07-01,31912,1569192170,0,40,0,40
309,2016-07-01,158450,35298247,22,18,0,40
310,2016-07-01,236595,628629535,0,36,0,40
311,2016-07-01,250288,745413665877155840,20,7,0,40
312,2016-07-01,270573,131808826,0,40,0,40
313,2016-07-01,335533,172092300,0,1,0,40
314,2016-07-01,399877,752872769226956801,0,33,0,40
315,2016-07-01,413584,753269110344122368,0,2,38,40
316,2016-07-01,2425,981867829,0,35,2,39
317,2016-07-01,4460,711430380310495232,0,36,1,39
318,2016-07-01,11439,1969699820,0,39,0,39
319,2016-07-01,17638,393855734,1,38,0,39
320,2016-07-01,24869,21238575,0,39,0,39
321,2016-07-01,35297,2761058149,0,38,0,39
322,2016-07-01,35348,305017129,0,29,1,39
323,2016-07-01,59333,222727342,37,0,0,39
324,2016-07-01,83826,14813141,1,29,1,39
325,2016-07-01,137560,27316651,0,39,0,39
326,2016-07-01,272868,23326668,0,39,0,39
327,2016-07-01,365576,752341992248471552,0,39,0,39
328,2016-07-01,1135,17269423,0,36,0,38
329,2016-07-01,5329,151633342,1,37,0,38
330,2016-07-01,5473,2163248447,0,38,0,38
331,2016-07-01,6116,40874240,23,14,0,38
332,2016-07-01,7726,1897239480,13,22,0,38
333,2016-07-01,11911,320821564,0,34,0,38
334,2016-07-01,13594,47554499,4,30,4,38
335,2016-07-01,18368,3886532112,11,0,5,38
336,2016-07-01,25997,483429828,6,26,0,38
337,2016-07-01,35284,204534066,0,38,0,38
338,2016-07-01,39360,14389581,0,38,0,38
339,2016-07-01,43996,3572758941,0,38,0,38
340,2016-07-01,47190,3036952026,38,0,0,38
341,2016-07-01,52295,94999200,17,7,1,38
342,2016-07-01,54959,463227379,0,38,0,38
343,2016-07-01,63458,301019006,0,38,0,38
344,2016-07-01,90092,4730990128,0,38,0,38
345,2016-07-01,100514,139891948,38,0,0,38
346,2016-07-01,156572,8039552,0,35,0,38
347,2016-07-01,204726,439454817,0,33,2,38
348,2016-07-01,244744,234705799,0,35,0,38
349,2016-07-01,251277,742334835667140612,5,31,0,38
350,2016-07-01,272162,3365151111,0,38,0,38
351,2016-07-01,300147,4883718075,1,0,37,38
352,2016-07-01,302800,233828348,26,11,0,38
353,2016-07-01,409935,168629447,1,37,0,38
354,2016-07-01,2032,942422990,0,28,3,37
355,2016-07-01,2458,45674330,0,27,0,37
356,2016-07-01,4480,67169191,8,28,0,37
357,2016-07-01,4990,780767377,0,33,0,37
358,2016-07-01,6085,739065738,0,37,0,37
359,2016-07-01,8229,17495913,1,35,0,37
360,2016-07-01,12552,15886477,0,37,0,37
361,2016-07-01,58354,723496982485020672,0,37,0,37
362,2016-07-01,129789,4871097593,0,37,0,37
363,2016-07-01,166435,47092472,0,34,0,37
364,2016-07-01,168126,3409715445,29,8,0,37
365,2016-07-01,206452,2361751704,28,9,0,37
366,2016-07-01,249102,3068855836,0,31,0,37
367,2016-07-01,280522,1671613182,0,3,34,37
368,2016-07-01,289983,749508706400952321,0,0,0,37
369,2016-07-01,326873,3983921594,0,26,7,37
370,2016-07-01,1116,2975154217,1,34,0,36
371,2016-07-01,11460,956472636,0,35,0,36
372,2016-07-01,12506,796941355,1,26,5,36
373,2016-07-01,20190,820187383,0,36,0,36
374,2016-07-01,24555,35346943,36,0,0,36
375,2016-07-01,26177,390925665,0,20,16,36
376,2016-07-01,34085,2186206505,4,27,5,36
377,2016-07-01,58229,102846283,5,25,0,36
378,2016-07-01,69964,3795916280,8,22,0,36
379,2016-07-01,96225,3173764968,0,35,0,36
380,2016-07-01,107218,26362473,0,34,0,36
381,2016-07-01,185211,158671124,0,36,0,36
382,2016-07-01,288357,746473869293330432,4,1,31,36
383,2016-07-01,1889,716813053,1,1,33,35
384,2016-07-01,5062,100987374,13,12,1,35
385,2016-07-01,7812,18272853,12,7,4,35
386,2016-07-01,18583,190260040,2,33,0,35
387,2016-07-01,20231,45157061,0,35,0,35
388,2016-07-01,42919,767862828,0,35,0,35
389,2016-07-01,45187,85937503,6,22,7,35
390,2016-07-01,81937,36829670,0,33,0,35
391,2016-07-01,82787,4545751522,0,35,0,35
392,2016-07-01,88147,735106615104393221,26,2,0,35
393,2016-07-01,277546,415381836,0,27,0,35
394,2016-07-01,283311,2244706532,3,0,29,35
395,2016-07-01,453068,263790724,35,0,0,35
396,2016-07-01,336,718375439367028737,0,26,3,34
397,2016-07-01,4930,36927988,0,34,0,34
398,2016-07-01,13916,3387188439,32,2,0,34
399,2016-07-01,23467,130620533,6,15,3,34
400,2016-07-01,23556,853801490,20,0,0,34
401,2016-07-01,23658,48573475,10,23,0,34
402,2016-07-01,24111,298997025,0,33,0,34
403,2016-07-01,25447,34383891,3,31,0,34
404,2016-07-01,35668,2573901282,0,34,0,34
405,2016-07-01,36707,3295314610,0,34,0,34
406,2016-07-01,148230,2713091375,0,33,0,34
407,2016-07-01,197941,17641403,0,33,0,34
408,2016-07-01,206683,742583289278386176,0,34,0,34
409,2016-07-01,252401,699988098592018432,0,30,0,34
410,2016-07-01,361277,545541174,0,31,0,34
411,2016-07-01,2414,370882820,0,30,0,33
412,2016-07-01,8881,885642757,0,33,0,33
413,2016-07-01,13004,10682742,0,33,0,33
414,2016-07-01,16300,84523588,25,0,0,33
415,2016-07-01,33744,170797041,0,33,0,33
416,2016-07-01,56879,412343028,0,3,28,33
417,2016-07-01,85428,156280836,0,33,0,33
418,2016-07-01,105098,1365831386,1,28,0,33
419,2016-07-01,136265,4782847254,0,22,0,33
420,2016-07-01,158175,241640955,28,4,1,33
421,2016-07-01,220027,795355531,0,33,0,33
422,2016-07-01,225361,1107306996,0,32,0,33
423,2016-07-01,245056,2308917726,0,33,0,33
424,2016-07-01,251810,54559584,0,17,0,33
425,2016-07-01,298906,735297696982925312,0,32,0,33
426,2016-07-01,315850,1175667300,0,33,0,33
427,2016-07-01,2669,2608956567,0,32,0,32
428,2016-07-01,2932,17264634,0,32,0,32
429,2016-07-01,3021,17372783,0,32,0,32
430,2016-07-01,4511,488911358,6,10,13,32
431,2016-07-01,5853,403086277,1,23,8,32
432,2016-07-01,8255,26070572,0,30,0,32
433,2016-07-01,11605,15861135,0,32,0,32
434,2016-07-01,13016,202450737,0,32,0,32
435,2016-07-01,14040,583117972,2,30,0,32
436,2016-07-01,16314,1163786779,7,5,20,32
437,2016-07-01,20207,4759057768,0,32,0,32
438,2016-07-01,20258,27703866,0,32,0,32
439,2016-07-01,35817,824450408,0,32,0,32
440,2016-07-01,52822,26183828,0,32,0,32
441,2016-07-01,56397,1503900078,0,29,1,32
442,2016-07-01,59464,733776663708901376,18,11,0,32
443,2016-07-01,59755,20216334,31,1,0,32
444,2016-07-01,74549,59816192,0,30,0,32
445,2016-07-01,75826,67618468,0,32,0,32
446,2016-07-01,96630,388633428,0,32,0,32
447,2016-07-01,117484,709948320215601152,14,18,0,32
448,2016-07-01,137746,802694136,0,32,0,32
449,2016-07-01,149884,3390151583,0,30,0,32
450,2016-07-01,168660,626612323,1,29,0,32
451,2016-07-01,170577,32625968,1,20,1,32
452,2016-07-01,203945,35005762,0,32,0,32
453,2016-07-01,271250,2292626818,5,27,0,32
454,2016-07-01,319462,751498154449727488,2,27,0,32
455,2016-07-01,333243,184099730,1,0,31,32
456,2016-07-01,335374,634912541,0,32,0,32
457,2016-07-01,1747,260335091,9,22,0,31
458,2016-07-01,2065,730446841008001024,24,3,0,31
459,2016-07-01,2101,730415229717381120,25,0,0,31
460,2016-07-01,2374,4063962988,1,30,0,31
461,2016-07-01,7868,724500918255788032,0,31,0,31
462,2016-07-01,8438,2431107457,0,31,0,31
463,2016-07-01,20916,15220853,11,14,6,31
464,2016-07-01,21157,2369233345,0,31,0,31
465,2016-07-01,24989,336053716,31,0,0,31
466,2016-07-01,31383,3317738183,16,11,1,31
467,2016-07-01,35139,838627057,0,31,0,31
468,2016-07-01,36167,4924437246,6,24,0,31
469,2016-07-01,38726,264924891,0,28,0,31
470,2016-07-01,38906,268265145,0,31,0,31
471,2016-07-01,41890,22046875,7,24,0,31
472,2016-07-01,42200,417208964,0,30,0,31
473,2016-07-01,51969,31483974,0,31,0,31
474,2016-07-01,53911,1526485603,0,30,0,31
475,2016-07-01,66531,352861762,0,31,0,31
476,2016-07-01,71768,464228783,0,31,0,31
477,2016-07-01,182170,3599945898,3,28,0,31
478,2016-07-01,244129,1020095184,2,29,0,31
479,2016-07-01,269501,1389391634,0,31,0,31
480,2016-07-01,282783,749100854909603841,0,31,0,31
481,2016-07-01,317893,93108995,0,25,6,31
482,2016-07-01,391311,184164969,0,25,0,31
483,2016-07-01,945,355028519,0,19,1,30
484,2016-07-01,3284,2861407204,4,16,8,30
485,2016-07-01,3548,20989515,0,30,0,30
486,2016-07-01,5120,716545648,0,30,0,30
487,2016-07-01,5836,716012352563449857,25,2,0,30
488,2016-07-01,5999,115694587,0,30,0,30
489,2016-07-01,11685,23913840,0,25,0,30
490,2016-07-01,13130,19030740,0,29,1,30
491,2016-07-01,13657,5571722,0,22,1,30
492,2016-07-01,15529,25281508,3,22,1,30
493,2016-07-01,16784,399712913,7,18,0,30
494,2016-07-01,24974,2364610128,5,0,24,30
495,2016-07-01,26788,452921304,26,3,0,30
496,2016-07-01,26939,712552463174393856,0,29,0,30
497,2016-07-01,29448,4857537145,0,30,0,30
498,2016-07-01,30514,104316710,1,28,0,30
499,2016-07-01,32147,14457021,0,18,10,30
500,2016-07-01,39083,634676291,19,5,4,30
501,2016-07-01,39996,4857709263,0,30,0,30
502,2016-07-01,41899,302346908,0,30,0,30
503,2016-07-01,42379,490936163,0,30,0,30
504,2016-07-01,48905,381666934,0,30,0,30
505,2016-07-01,149856,32587634,1,25,2,30
506,2016-07-01,152827,433599645,0,27,0,30
507,2016-07-01,163060,25672923,0,27,0,30
508,2016-07-01,268119,2977479448,0,29,0,30
509,2016-07-01,269264,375687849,26,0,0,30
510,2016-07-01,277751,744231688218238976,0,18,9,30
511,2016-07-01,307126,695975876459102208,6,0,22,30
512,2016-07-01,359060,132781236,0,30,0,30
513,2016-07-01,361960,104916857,0,30,0,30
514,2016-07-01,386375,709609618742226944,0,0,30,30
515,2016-07-01,3684,199924232,0,28,0,29
516,2016-07-01,4837,25630143,8,2,0,29
517,2016-07-01,5144,219856891,6,23,0,29
518,2016-07-01,6330,768243295,0,29,0,29
519,2016-07-01,7114,861508788,0,29,0,29
520,2016-07-01,8968,1197201529,0,29,0,29
521,2016-07-01,11710,94012779,1,10,0,29
522,2016-07-01,12974,539573373,1,22,5,29
523,2016-07-01,13493,570859259,0,29,0,29
524,2016-07-01,13752,2347719997,13,12,4,29
525,2016-07-01,18592,3913103052,0,29,0,29
526,2016-07-01,18659,2191697564,0,29,0,29
527,2016-07-01,23013,430057402,0,29,0,29
528,2016-07-01,23812,242051914,0,29,0,29
529,2016-07-01,24991,142358348,0,29,0,29
530,2016-07-01,31843,1265377520,0,27,1,29
531,2016-07-01,34742,3194913091,0,29,0,29
532,2016-07-01,37423,48520727,4,19,6,29
533,2016-07-01,51000,712525192761905152,0,27,0,29
534,2016-07-01,60708,31212830,1,5,23,29
535,2016-07-01,61214,319939901,5,19,4,29
536,2016-07-01,74627,913355760,0,29,0,29
537,2016-07-01,85001,43566423,0,29,0,29
538,2016-07-01,110414,754775250,1,10,18,29
539,2016-07-01,122541,583127113,1,28,0,29
540,2016-07-01,185470,737292332,6,17,0,29
541,2016-07-01,188230,258871342,22,7,0,29
542,2016-07-01,215424,320117895,0,29,0,29
543,2016-07-01,231719,743600698416332800,15,4,0,29
544,2016-07-01,254814,2809396552,0,29,0,29
545,2016-07-01,260845,237376532,12,0,17,29
546,2016-07-01,273445,19567280,2,2,0,29
547,2016-07-01,277954,25304264,3,3,23,29
548,2016-07-01,292076,742129940263370753,1,28,0,29
549,2016-07-01,316303,1862356604,0,29,0,29
550,2016-07-01,363299,745699859169165312,24,1,4,29
551,2016-07-01,364401,1582253180,0,29,0,29
552,2016-07-01,366312,182996941,0,29,0,29
553,2016-07-01,989,474450287,0,28,0,28
554,2016-07-01,1766,19802846,9,18,0,28
555,2016-07-01,2359,107547647,0,28,0,28
556,2016-07-01,2775,116099364,24,4,0,28
557,2016-07-01,3220,144402222,0,28,0,28
558,2016-07-01,9530,64302962,25,2,0,28
559,2016-07-01,12869,883145995,0,28,0,28
560,2016-07-01,20372,4260493217,28,0,0,28
561,2016-07-01,22683,47421452,0,22,0,28
562,2016-07-01,23584,49800332,1,26,0,28
563,2016-07-01,29280,23830016,0,28,0,28
564,2016-07-01,29697,708830884300873730,0,28,0,28
565,2016-07-01,34374,16444544,2,23,0,28
