snopes,fake,s_pd,f_pd
http://www.snopes.com/irish-slaves-early-america/,http://www.globalresearch.ca/the-irish-slave-trade-the-forgotten-white-slaves/31076,2016-09-24 18:16:28,2015-03-17 00:00:00
http://www.snopes.com/black-protesters-targeted-whites-in-milwaukee/,http://www.infowars.com/video-black-lives-matter-rioters-target-whites-for-beat-downs/,2016-08-15 20:20:38,2016-08-14 11:45:48
http://www.snopes.com/california-to-jail-climate-change-skeptics/,http://www.redflagnews.com/headlines-2016/california-introduces-law-to-jail-anyone-who-questions-man-made-climate-change-first-amendment-now-dead,2016-06-06 17:40:19,2016-06-04 00:00:00
http://www.snopes.com/syrian-rescue-organization-the-white-helmets-are-terrorists/,http://21stcenturywire.com/2016/09/23/exclusive-the-real-syria-civil-defence-expose-natos-white-helmets-as-terrorist-linked-imposters/,2016-12-16 17:56:49,2016-09-23 05:33:24
http://www.snopes.com/cdc-forced-vaccinations/,http://www.redflagnews.com/headlines-2016/cdc-proposes-rule-to-apprehend-and-detain-anyone-anywhere-at-any-time-for-any-duration-without-due-process-or-right-of-appeal-and-administer-forced-vaccinations,2016-09-03 15:48:08,2016-09-01 00:00:00
http://www.snopes.com/mother-sues-hospital-after-son-turns-gay-from-flu-shot/,http://worldnewsdailyreport.com/mother-sues-hospital-after-son-turns-gay-after-vaccine-shot/,2016-10-04 18:04:04,2015-11-25 17:49:27
http://www.snopes.com/monica-lewinsky-voting-for-hillary-clinton/,http://empirenews.net/monica-lewinsky-says-she-is-voting-for-hillary-clinton/,2016-10-10 18:51:31,2016-07-30 00:00:00
http://www.snopes.com/black-homeless-woman-says-trump-allowed-live-trump-tower-rent-free/,http://www.infowars.com/black-homeless-woman-says-trump-allowed-her-to-live-in-trump-tower-rent-free-for-8-years/,2016-12-09 23:19:46,2016-12-08 17:26:44
http://www.snopes.com/john-podesta-spirit-cooking/,http://www.infowars.com/spirit-cooking-clinton-campaign-chairman-invited-to-bizarre-satanic-performance/,2016-11-04 21:46:54,2016-11-04 13:57:25
http://www.snopes.com/michael-savage-removed/,http://www.infowars.com/savage-nation-sounds-the-alarm-on-censorship/,2016-09-28 17:51:02,2016-09-28 16:15:22
http://www.snopes.com/elector-suicide/,http://worldnewsdailyreport.com/electoral-college-elector-commits-suicide-to-avoid-voting-for-donald-trump/,2016-12-30 19:24:14,2016-12-19 19:50:22
http://www.snopes.com/target-american-flag-removal/,http://nationalreport.net/target-discontinue-sales-american-flag/,2016-05-19 20:36:40,2016-05-19 16:47:18
http://www.snopes.com/orlando-shooters-father-clinton/,http://21stcenturywire.com/2016/06/15/father-of-orlando-shooter-is-long-time-cia-asset/,2016-06-15 16:50:16,2016-06-15 14:34:37
http://www.snopes.com/sarah-palin-nativia/,http://dailycurrant.com/2015/09/07/sarah-palin-native-americans-should-go-back-to-nativia-3/,2015-09-08 16:28:39,2015-09-07 13:40:33
http://www.snopes.com/media/notnews/sharkselfie.asp,http://worldnewsdailyreport.com/man-takes-selfie-moments-before-deadly-shark-attack/,2014-08-13 06:34:50,2014-08-06 17:49:11
http://www.snopes.com/2016/08/09/politics-sites-mismatched-clinton-rally-image-goes-viral/,http://www.infowars.com/media-photoshops-hillary-crowd-to-make-her-audience-look-bigger/,2016-08-09 17:52:29,2016-08-09 11:31:16
http://www.snopes.com/john-podesta-spirit-cooking/,http://www.infowars.com/bombshell-hillary-clintons-satanic-network-exposed/,2016-11-04 21:46:54,2016-11-04 19:25:00
http://www.snopes.com/government-to-microchip-citizens/,http://www.activistpost.com/2016/12/house-passes-bill-allowing-government-microchip-citizens-mental-disabilities.html,2016-12-17 23:44:34,2016-12-13 09:44:09
http://www.snopes.com/mike-pence-condom-ban/,http://www.newslo.com/mike-pence-calls-ban-condoms-lead-abortions/,2016-08-29 20:25:58,2016-08-16 21:50:29
http://www.snopes.com/three-syrian-refugees-assault-5-year-old-girl-at-knifepoint/,http://www.infowars.com/report-three-syrian-refugees-rape-little-girl-at-knifepoint-in-idaho/,2016-06-20 17:39:25,2016-06-20 11:06:24
http://www.snopes.com/stephen-bannon-nobody-can-blame-you/,http://politicops.com/stephen-bannon-nobody-can-blame-beating-wife-love/,2016-08-27 17:16:51,2016-08-26 23:39:58
http://www.snopes.com/history/american/lincoln-kennedy.asp,http://www.clickhole.com/article/coincidence-similarities-between-kennedy-and-linco-1750,2015-02-13 02:53:30,2015-01-20 15:59:00
http://www.snopes.com/stone-age-tunnels/,http://www.infowars.com/european-network-of-stone-age-tunnels-that-weaves-from-scotland-to-turkey/,2016-09-16 21:07:36,2011-08-04 18:05:56
http://www.snopes.com/rupaul-claims-trump-touched-him/,http://worldnewsdailyreport.com/rupaul-claims-trump-touched-him-inappropriately-in-the-1990s/,2016-10-18 04:15:18,2016-10-14 13:15:30
http://www.snopes.com/apa-belief-mental-illness/,http://www.thenewsnerd.com/health/apa-to-classify-belief-in-god-as-a-mental-illness/,2015-07-17 17:54:55,2015-07-15 16:22:41
http://www.snopes.com/politics/religion/armyturban.asp,http://americannews.com/muslims-demand-army-change-its-dress-code-to-include-turbans-and-beards/,2016-10-06 18:06:42,2014-09-01 18:51:37
http://www.snopes.com/politics/satire/palin370.asp,http://dailycurrant.com/2014/03/20/palin-wonders-if-flight-370-flew-directly-to-heaven-2/,2014-05-23 18:46:36,2014-03-20 02:14:05
http://www.snopes.com/woman-runs-husband-down-with-suv-because-he-voted-for-trump/,http://worldtruth.tv/woman-runs-over-her-husband-with-an-suv-after-learning-he-voted-for-trump/,2016-11-17 03:37:11,2016-11-16 08:56:45
http://www.snopes.com/michigan-farmers-destroy-cherries/,http://www.naturalnews.com/054984_crop_dumps_cherries_USDA.html,2016-09-15 18:54:30,2016-08-15 00:00:00
http://www.snopes.com/zoo-employee-alligator/,http://worldnewsdailyreport.com/florida-zoo-employee-killed-while-attempting-to-rape-alligator/,2016-04-06 22:50:58,2016-03-11 12:25:35
http://www.snopes.com/brock-turners-father-no-punishment/,http://politicops.com/turners-father-girl-got-no-punishment-slut/,2016-09-09 14:34:48,2016-06-09 18:26:20
http://www.snopes.com/televangelist-threatens-civil-war/,http://politicops.com/copeland-whoever-doesnt-vote-trump-will-guilty-civil-war-planned/,2016-10-21 16:57:13,2016-09-13 22:35:25
http://www.snopes.com/trump-to-repurpose-uss-enterprise-into-floating-hotel-and-casino/,http://www.duffelblog.com/2016/11/trump-to-repurpose-uss-enterprise-to-uss-trump-hotel-and-casino/,2016-11-18 01:25:48,2016-11-17 00:00:00
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/dr-drew-gravely-concerned-about-hillary-clintons-health/,2016-09-11 00:10:54,2016-08-17 17:57:16
http://www.snopes.com/white-house-cancels-all-obama-appearances/,http://www.redflagnews.com/headlines-2016/white-house-cancels-all-obama-appearances-at-hillary-campaign-events-,2016-10-29 17:44:35,2016-10-28 00:00:00
http://www.snopes.com/fda-outlaws-cbd-oils/,http://www.naturalnews.com/053369_CBD_hemp_oil_extract_FDA_regulations.html,2016-03-23 23:22:33,2016-03-20 00:00:00
http://www.snopes.com/donald-trumps-intelligence-quotient/,http://beforeitsnews.com/opinion-conservative/2015/08/donald-trump-is-a-genius-but-thats-just-his-iq-3038790.html,2016-12-08 20:11:20,2015-08-01 07:33:00
http://www.snopes.com/three-million-votes-in-presidential-election-cast-by-illegal-aliens/,http://www.infowars.com/report-three-million-votes-in-presidential-election-cast-by-illegal-aliens/,2016-11-17 00:34:23,2016-11-14 13:22:55
http://www.snopes.com/george-soros-ss-nazi-germany/,http://www.nowtheendbegins.com/proof-george-soros-nazi-past-finally-comes-light-discovery-forgotten-interview/,2016-11-28 23:52:06,2016-11-15 22:10:02
http://www.snopes.com/experimental-nazi-missile-aimed-at-u-s/,http://worldnewsdailyreport.com/rocket-launched-in-space-by-nazis-in-1944-expected-to-hit-the-usa-next-week/,2016-12-30 21:53:24,2016-12-23 20:15:24
http://www.snopes.com/media/notnews/arizonatea.asp,https://www.huzlers.com/arizona-tea-exposed-by-fda-for-using-human-urine-in-products-will-be-taken-of-shelves-2/,2015-04-20 22:48:14,2015-04-20 08:15:35
http://www.snopes.com/eric-braverman-seeks-asylum-in-russia/,http://beforeitsnews.com/press-releases/2016/10/clinton-foundation-ceo-eric-braverman-seeks-asylum-at-russian-consulate-3015296.html,2016-10-25 21:44:56,2016-10-25 04:21:00
http://www.snopes.com/media/notnews/elfonshelf.asp,http://www.duffelblog.com/2014/12/elf-on-a-shelf-snowden/,2014-12-18 23:27:08,2014-12-15 00:00:00
http://www.snopes.com/woman-develops-iq-of-220-after-drinking-sperm-every-day-for-a-year/,http://worldnewsdailyreport.com/woman-develops-iq-of-220-after-drinking-sperm-everyday-for-a-year/,2016-11-21 21:23:22,2016-11-17 18:16:15
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,http://www.dcclothesline.com/2016/07/06/hacked-messages-of-blacklivesmatter-leader-reveal-obama-admins-plan-for-summer-of-chaos-and-martial-law/,2016-07-08 22:39:28,2016-07-06 11:08:41
http://www.snopes.com/mike-pence-supported-gay-conversion-therapy/,http://nationalreport.net/michele-bachmann-prays-gay-conversion-therapy-help-husband/,2016-10-26 23:23:54,2016-07-14 15:29:15
http://www.snopes.com/white-house-logo-change/,http://www.redflagnews.com/headlines-2016/-outrage-what-obama-just-did-to-the-white-house-logo-will-make-you-sick,2016-06-29 18:10:00,2016-06-28 00:00:00
http://www.snopes.com/justin-trudeau-kiss-thomas-mulcair/,http://worldnewsdailyreport.com/canadian-prime-minister-and-opposition-leader-share-kiss-to-denounce-orlando-massacre/,2016-06-15 21:07:01,2016-06-14 18:42:54
http://www.snopes.com/media/notnews/marilyn.asp,http://worldnewsdailyreport.com/retired-cia-agent-confesses-on-deathbed-i-killed-marilyn-monroe/,2015-04-17 05:08:12,2015-03-25 18:58:30
http://www.snopes.com/computer/facebook/fbcharge.asp,http://weeklyworldnews.com/headlines/28511/facebook-to-charge/,2016-12-26 19:29:10,2013-01-15 02:00:40
http://www.snopes.com/media/notnews/facebookguns.asp,http://empirenews.net/facebook-submits-names-of-users-posing-in-pictures-with-guns-to-homeland-security/,2014-12-04 15:39:22,2014-11-30 16:21:17
http://www.snopes.com/politics/satire/applebees.asp,http://www.duffelblog.com/2013/11/applebees-declares-bankruptcy-offering-free-alcohol-veterans-day/,2013-11-15 05:02:30,2013-11-12 00:00:00
http://www.snopes.com/politics/satire/coulter.asp,http://dailycurrant.com/2013/01/29/ann-coulter-refuses-board-airplane-black-pilot/,2013-08-14 20:52:06,2013-01-29 12:52:48
http://www.snopes.com/sarah-palin-calls-boycott-mall-america-santa-always-white-bible/,http://politicops.com/palin-calls-boycott-mall-america-santa-always-white-bible/,2016-12-05 18:56:21,2016-12-03 23:29:29
http://www.snopes.com/un-troops-americans-guns/,http://www.thedailysheeple.com/where-is-the-proof-that-un-soldiers-are-on-american-soil-oh-right-here_082012,2016-04-13 19:52:48,2012-08-17 16:09:41
http://www.snopes.com/black-lives-matter-protesters-chant-for-dead-cops-now-in-baton-rouge/,http://www.infowars.com/black-lives-matter-supporters-islamists-celebrate-murder-of-baton-rouge-cops/,2016-07-18 18:01:33,2016-07-17 17:34:01
http://www.snopes.com/2016/07/11/anonymous-day-of-rage-protests-2016/,https://www.lewrockwell.com/2016/07/daisy-luther/day-rage-scheduled-july-15th/,2016-07-12 02:32:50,2016-07-12 00:00:00
http://www.snopes.com/canada-legalizes-beastiality,http://www.infowars.com/canada-legalizes-oral-sex-with-pets/,2016-06-10 23:29:20,2016-06-10 17:49:11
http://www.snopes.com/media/notnews/huntingpermit.asp,http://nationalreport.net/federal-government-restrict-hunting-setting-minimum-age-21/,2014-11-01 06:59:46,2014-10-27 18:07:54
http://www.snopes.com/edward-snowden-said-russia-successfully-rigged-u-s-elections-in-favor-of-trump/,http://worldnewsdailyreport.com/snowden-russia-successfully-rigged-us-elections-in-favor-of-trump/,2016-11-28 17:06:10,2016-11-25 15:07:24
http://www.snopes.com/leaked-e-mail-clinton-foundation-john-oliver/,http://www.infowars.com/exclusive-leaked-email-shows-clinton-foundation-in-communication-with-comedian-john-oliver/,2016-10-07 23:12:42,2016-10-07 11:46:08
http://www.snopes.com/hillary-clinton-secret-earpiece/,http://www.infowars.com/was-hillary-wearing-an-earpiece-during-last-nights-presidential-forum/,2016-09-08 19:04:25,2016-09-08 10:58:32
http://www.snopes.com/hillary-calls-voters-bucket-of-losers/,http://www.infowars.com/hillary-calls-her-own-supporters-a-bucket-of-losers/,2016-10-08 17:52:42,2016-10-08 14:02:57
http://www.snopes.com/mike-pence-calls-michelle-obama-vulgar/,http://politicops.com/pence-michelle-obama-vulgar-first-lady-weve-ever/,2016-10-16 02:56:12,2016-10-14 22:09:28
http://www.snopes.com/army-memo-announces-martial-law/,https://www.redflagnews.com/headlines-2016/us-army-preparing-for-martial-law-take-a-look-at-this-document,2016-08-22 18:30:53,2016-08-21 00:00:00
http://www.snopes.com/photos/military/lambeau.asp,http://www.thespoof.com/spoof-news/sport/104054/super-bowl-controversy-national-anthem-will-be-replaced-with-a-dodge-ad,2013-11-12 05:53:24,2012-01-31 17:14:00
http://www.snopes.com/media/notnews/buzzaldrin.asp,https://www.huzlers.com/buzz-aldrin-admits-apollo-11-moon-landings-fake-simply-set-see-tweet/,2014-11-10 16:17:10,2014-11-07 01:27:51
http://www.snopes.com/santas-phone-number/,http://nationalreport.net/mall-santa-arrested-reason-will-shock/,2016-12-14 17:54:39,2014-12-02 23:38:33
http://www.snopes.com/hillary-clinton-seizure-video/,http://www.infowars.com/video-bizarre-hillary-behavior-caught-on-camera/,2016-07-23 22:09:07,2016-07-23 11:06:59
http://www.snopes.com/pat-robertson-orlando-shooting/,http://www.newslo.com/pat-robertson-orlando-shooting-gods-punishment-scotus-sex-marriage-ruling/,2016-06-12 21:34:06,2016-06-12 13:36:38
http://www.snopes.com/religious-replicates/,http://nationalreport.net/pope-francis-followers-koran-holy-bible/,2015-09-24 15:25:04,2015-06-01 20:00:15
http://www.snopes.com/colin-kaepernick-converts-to-islam/,http://www.infowars.com/colin-kaepernick-converted-to-islam-before-his-anti-american-stance-coincidence/,2016-08-29 18:29:41,2016-08-29 10:07:20
