user_id,n_fake_sites,n_fact_sites,n_total_sites
715259009561808896,27,5,32
718655199406080000,27,4,31
721002648288292864,27,3,30
727288195939889152,27,4,31
744185866097025024,27,2,29
750371862220115969,27,4,31
752554272433188864,27,2,29
763130254231756802,27,4,31
4517951,26,4,30
5950272,26,4,30
16067067,26,4,30
18553881,26,4,30
18929394,26,3,29
24790428,26,4,30
26652733,26,1,27
28064611,26,3,29
29110336,26,4,30
29463046,26,3,29
34755858,26,4,30
39055432,26,5,31
68166416,26,4,30
70804774,26,2,28
108796383,26,1,27
137552604,26,2,28
189806241,26,4,30
244900398,26,5,31
249442064,26,4,30
250365695,26,3,29
301665092,26,1,27
303450744,26,3,29
309132445,26,3,29
374226275,26,4,30
448510528,26,4,30
535554692,26,3,29
605963171,26,3,29
802659122,26,3,29
821842872,26,4,30
864139111,26,3,29
900908972,26,4,30
930575720,26,4,30
952296307,26,3,29
1191624822,26,1,27
1222028304,26,4,30
1240232587,26,3,29
1528072561,26,4,30
1869484002,26,1,27
1905590958,26,4,30
2259041257,26,1,27
2307253314,26,2,28
2307296066,26,3,29
2329260715,26,4,30
2430626287,26,3,29
2611066880,26,3,29
2716100047,26,4,30
2725704808,26,4,30
2931586062,26,4,30
2992624003,26,4,30
3001321559,26,4,30
3289045495,26,2,28
3328134453,26,2,28
3374126201,26,5,31
3480694935,26,4,30
3702234197,26,3,29
3825590651,26,4,30
3886099279,26,5,31
3995662453,26,4,30
4002449655,26,3,29
4230384973,26,4,30
4476428301,26,4,30
4515157993,26,4,30
4676548814,26,2,28
4805891677,26,4,30
4890383820,26,5,31
701581697679110145,26,3,29
706148599604731905,26,4,30
706250312810684418,26,5,31
709196385594126336,26,2,28
710903460934254592,26,4,30
720008230412410885,26,2,28
720378783996358656,26,2,28
734192410264096768,26,5,31
734206860648185856,26,3,29
740358125392408576,26,5,31
747107404714807300,26,3,29
762008344987041792,26,4,30
14564565,25,3,28
16004747,25,2,27
18673125,25,3,28
27839828,25,3,28
35216399,25,4,29
36313598,25,4,29
37630113,25,4,29
